16,927,0.01726
2,146,0.0136986
2,151,0.013245
2,141,0.0141844
2,114,0.0175439
2,107,0.0186916
2,104,0.0192308
2,144,0.0138889
3,138,0.0217391
3,143,0.020979
2,215,0.00930233
3,151,0.0198675
3,207,0.0144928
3,154,0.0194805
3,563,0.0053286
3,140,0.0214286
2,121,0.0165289
3,421,0.00712589
3,187,0.0160428
3,141,0.0212766
3,235,0.012766
3,180,0.0166667
3,148,0.0202703
2,142,0.0140845
2,192,0.0104167
3,151,0.0198675
3,256,0.0117188
3,497,0.00603622
2,252,0.00793651
2,174,0.0114943
20,192,0.104167
2,278,0.00719424
3,144,0.0208333
3,320,0.009375
2,229,0.00873362
2,184,0.0108696
3,474,0.00632911
2,188,0.0106383
2,169,0.0118343
3,175,0.0171429
2,164,0.0121951
3,150,0.02
2,134,0.0149254
15,1927,0.00778412
3,151,0.0198675
2,164,0.0121951
2,914,0.00218818
2,546,0.003663
3,143,0.020979
2,140,0.0142857


6046,4504,1.34236
5160,4473,1.15359
7872,3384,2.32624
5380,5009,1.07407
6249,3658,1.70831
6243,4020,1.55299
6847,3954,1.73166
6950,3668,1.89477
6545,3478,1.88183
4888,2997,1.63096
6520,3436,1.89756
8324,3898,2.13545
5564,3233,1.721
7506,6619,1.13401
7807,7558,1.03295
8456,3237,2.6123
7580,6435,1.17793
6404,5751,1.11355
6010,4597,1.30737
6788,3566,1.90353
6871,4637,1.48178
6258,3162,1.97913
7730,3624,2.133
9664,2764,3.49638
7809,6059,1.28883
4999,4330,1.1545
6030,4473,1.34809
8119,5544,1.46447
8755,2820,3.10461
5627,4394,1.28061
6979,6229,1.1204
5414,2758,1.96302
6451,3740,1.72487
4901,4773,1.02682
5395,3982,1.35485
9205,3207,2.87028
5593,3714,1.50592
6087,2938,2.07182
5898,2584,2.28251
5705,2578,2.21296
5127,5790,0.885492
7569,4835,1.56546
7466,2952,2.52913
8662,5371,1.61274
8121,5050,1.60812
6895,3572,1.93029
7361,3967,1.85556
5021,3865,1.29909
5469,3953,1.38351
5403,3719,1.45281
